HoN-v2-bloody-omaha-ge-command-sc-500													zzzz TODO						HoN-v2	bloody-omaha	GE	command	res/HoN-v2/bloody-omaha/ge/command/sc-500.png											
HoN-v2-bloody-omaha-ge-command-recruitment-tile-divisionsstab_a													zzzz TODO						HoN-v2	bloody-omaha	GE	command	res/HoN-v2/bloody-omaha/ge/command/recruitment-tile-divisionsstab_a.png	res/HoN-v2/bloody-omaha/ge/command/recruitment-tile-divisionsstab_b.png										
HoN-v2-bloody-omaha-ge-command-aircraft-x1-option-1													zzzz TODO						HoN-v2	bloody-omaha	GE	command	res/HoN-v2/bloody-omaha/ge/command/aircraft-x1-option-1.png											
HoN-v2-bloody-omaha-ge-command-command-group_a													zzzz TODO						HoN-v2	bloody-omaha	GE	command	res/HoN-v2/bloody-omaha/ge/command/command-group_a.png	res/HoN-v2/bloody-omaha/ge/command/command-group_b.png										
HoN-v2-bloody-omaha-ge-command-kraiss_a													zzzz TODO						HoN-v2	bloody-omaha	GE	command	res/HoN-v2/bloody-omaha/ge/command/kraiss_a.png	res/HoN-v2/bloody-omaha/ge/command/kraiss_b.png										
HoN-v2-bloody-omaha-ge-command-tank-ambush-marker_a													zzzz TODO						HoN-v2	bloody-omaha	GE	command	res/HoN-v2/bloody-omaha/ge/command/tank-ambush-marker_a.png	res/HoN-v2/bloody-omaha/ge/command/tank-ambush-marker_b.png										
HoN-v2-bloody-omaha-ge-command-artillery-option													zzzz TODO						HoN-v2	bloody-omaha	GE	command	res/HoN-v2/bloody-omaha/ge/command/artillery-option.png											
HoN-v2-bloody-omaha-ge-command-aircraft-x2-option-1													zzzz TODO						HoN-v2	bloody-omaha	GE	command	res/HoN-v2/bloody-omaha/ge/command/aircraft-x2-option-1.png											
HoN-v2-bloody-omaha-ge-command-haystack-b													zzzz TODO						HoN-v2	bloody-omaha	GE	command	res/HoN-v2/bloody-omaha/ge/command/haystack-b.png											
HoN-v2-bloody-omaha-ge-command-artillery													zzzz TODO						HoN-v2	bloody-omaha	GE	command	res/HoN-v2/bloody-omaha/ge/command/artillery.png											
HoN-v2-bloody-omaha-ge-command-tank-ambush_a													zzzz TODO						HoN-v2	bloody-omaha	GE	command	res/HoN-v2/bloody-omaha/ge/command/tank-ambush_a.png	res/HoN-v2/bloody-omaha/ge/command/tank-ambush_b.png										
HoN-v2-bloody-omaha-ge-command-focke-wulf-fw-190a_a													zzzz TODO						HoN-v2	bloody-omaha	GE	command	res/HoN-v2/bloody-omaha/ge/command/focke-wulf-fw-190a_a.png	res/HoN-v2/bloody-omaha/ge/command/focke-wulf-fw-190a_b.png										
HoN-v2-bloody-omaha-ge-command-tank-ambush-option													zzzz TODO						HoN-v2	bloody-omaha	GE	command	res/HoN-v2/bloody-omaha/ge/command/tank-ambush-option.png											
HoN-v2-bloody-omaha-ge-command-smoke													zzzz TODO						HoN-v2	bloody-omaha	GE	command	res/HoN-v2/bloody-omaha/ge/command/smoke.png											
HoN-v2-bloody-omaha-ge-command-haystack-b-marker													zzzz TODO						HoN-v2	bloody-omaha	GE	command	res/HoN-v2/bloody-omaha/ge/command/haystack-b-marker.png											
HoN-v2-bloody-omaha-ge-command-haystack-a-marker													zzzz TODO						HoN-v2	bloody-omaha	GE	command	res/HoN-v2/bloody-omaha/ge/command/haystack-a-marker.png											
HoN-v2-bloody-omaha-ge-command-haystack-a													zzzz TODO						HoN-v2	bloody-omaha	GE	command	res/HoN-v2/bloody-omaha/ge/command/haystack-a.png											
HoN-v2-bloody-omaha-ge-command-battle-plan-option													zzzz TODO						HoN-v2	bloody-omaha	GE	command	res/HoN-v2/bloody-omaha/ge/command/battle-plan-option.png											
HoN-v2-bloody-omaha-ge-command-haystack-back													zzzz TODO						HoN-v2	bloody-omaha	GE	command	res/HoN-v2/bloody-omaha/ge/command/haystack-back.png											
HoN-v2-bloody-omaha-ge-command-messerschmitt-bf-109-gg_a													zzzz TODO						HoN-v2	bloody-omaha	GE	command	res/HoN-v2/bloody-omaha/ge/command/messerschmitt-bf-109-gg_a.png	res/HoN-v2/bloody-omaha/ge/command/messerschmitt-bf-109-gg_b.png										
bloody-omaha-ge-command-deprecated-recruitment-tile-divisionsstab_a													zzzz TODO						bloody-omaha	ge	COMMAND	deprecated	res/HoN-v2/bloody-omaha/ge/command/deprecated/recruitment-tile-divisionsstab_a.png	res/HoN-v2/bloody-omaha/ge/command/deprecated/recruitment-tile-divisionsstab_b.png										
HoN-v2-bloody-omaha-ge-panzergruppe_2nd-panzer-abteilung-3-pz-reg-2-pz-div-he-shell													zzzz TODO						HoN-v2	bloody-omaha	GE	panzergruppe_2nd-panzer-abteilung-3-pz-reg-2-pz-div	res/HoN-v2/bloody-omaha/ge/panzergruppe_2nd-panzer-abteilung-3-pz-reg-2-pz-div/he-shell.png											
HoN-v2-bloody-omaha-ge-panzergruppe_2nd-panzer-abteilung-3-pz-reg-2-pz-div-fuel													zzzz TODO						HoN-v2	bloody-omaha	GE	panzergruppe_2nd-panzer-abteilung-3-pz-reg-2-pz-div	res/HoN-v2/bloody-omaha/ge/panzergruppe_2nd-panzer-abteilung-3-pz-reg-2-pz-div/fuel.png											
